,id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,group_popularity,notes
460,MABMBM01OEA659S,2021-01-12,2021-01-12,"Broad Money, Index for the OECD Europe (DISCONTINUED)",1971-01-01,2013-01-01,Annual,A,Growth Rate Same Period Previous Year,Growth Rate Same Period Previous Yr.,Not Seasonally Adjusted,NSA,2014-05-05 09:23:36-05,1,1,"OECD descriptor ID: MABMBM01
OECD unit ID: GYSA
OECD country ID: OEU

All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date)
Copyright, 2016, OECD. Reprinted with permission."
461,MABMBM01CZM659S,2021-01-12,2021-01-12,"Broad Money, Index for the Czech Republic (DISCONTINUED)",1992-01-01,2013-12-01,Monthly,M,Growth Rate Same Period Previous Year,Growth Rate Same Period Previous Yr.,Seasonally Adjusted,SA,2014-03-12 10:54:10-05,1,1,"OECD descriptor ID: MABMBM01
OECD unit ID: GYSA
OECD country ID: CZE

All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date)
Copyright, 2016, OECD. Reprinted with permission."
462,MABMBM01CZA659S,2021-01-12,2021-01-12,"Broad Money, Index for the Czech Republic (DISCONTINUED)",1992-01-01,2013-01-01,Annual,A,Growth Rate Same Period Previous Year,Growth Rate Same Period Previous Yr.,Not Seasonally Adjusted,NSA,2014-03-12 10:54:11-05,1,1,"OECD descriptor ID: MABMBM01
OECD unit ID: GYSA
OECD country ID: CZE

All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date)
Copyright, 2016, OECD. Reprinted with permission."
463,MABMBM01O1M659S,2021-01-12,2021-01-12,"Broad Money, Index for the OECD Total Area (DISCONTINUED)",1981-01-01,2013-12-01,Monthly,M,Growth Rate Same Period Previous Year,Growth Rate Same Period Previous Yr.,Seasonally Adjusted,SA,2014-05-05 09:23:37-05,1,1,"OECD descriptor ID: MABMBM01
OECD unit ID: GYSA
OECD country ID: OTO

All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date)
Copyright, 2016, OECD. Reprinted with permission."
464,MABMBM01GBA659S,2021-01-12,2021-01-12,"Broad Money, Index for the United Kingdom (DISCONTINUED)",1988-01-01,2013-01-01,Annual,A,Growth Rate Same Period Previous Year,Growth Rate Same Period Previous Yr.,Not Seasonally Adjusted,NSA,2014-05-05 09:23:55-05,0,1,"OECD descriptor ID: MABMBM01
OECD unit ID: GYSA
OECD country ID: GBR

All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date)
Copyright, 2016, OECD. Reprinted with permission."
465,MABMBM01GBQ659S,2021-01-12,2021-01-12,"Broad Money, Index for the United Kingdom (DISCONTINUED)",1988-01-01,2013-10-01,Quarterly,Q,Growth Rate Same Period Previous Year,Growth Rate Same Period Previous Yr.,Seasonally Adjusted,SA,2014-05-05 09:23:53-05,0,1,"OECD descriptor ID: MABMBM01
OECD unit ID: GYSA
OECD country ID: GBR

All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date)
Copyright, 2016, OECD. Reprinted with permission."
466,MABMBM01RUA659S,2021-01-12,2021-01-12,"Broad Money, Index for the Russian Federation (DISCONTINUED)",1997-01-01,2013-01-01,Annual,A,Growth Rate Same Period Previous Year,Growth Rate Same Period Previous Yr.,Not Seasonally Adjusted,NSA,2014-03-12 10:55:03-05,0,1,"OECD descriptor ID: MABMBM01
OECD unit ID: GYSA
OECD country ID: RUS

All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date)
Copyright, 2016, OECD. Reprinted with permission."
467,MABMBM01RUQ659S,2021-01-12,2021-01-12,"Broad Money, Index for the Russian Federation (DISCONTINUED)",1996-07-01,2013-10-01,Quarterly,Q,Growth Rate Same Period Previous Year,Growth Rate Same Period Previous Yr.,Seasonally Adjusted,SA,2014-03-12 10:55:02-05,0,1,"OECD descriptor ID: MABMBM01
OECD unit ID: GYSA
OECD country ID: RUS

All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date)
Copyright, 2016, OECD. Reprinted with permission."
468,MABMBM01CZQ659S,2021-01-12,2021-01-12,"Broad Money, Index for the Czech Republic (DISCONTINUED)",1992-01-01,2013-10-01,Quarterly,Q,Growth Rate Same Period Previous Year,Growth Rate Same Period Previous Yr.,Seasonally Adjusted,SA,2014-03-12 10:54:09-05,0,1,"OECD descriptor ID: MABMBM01
OECD unit ID: GYSA
OECD country ID: CZE

All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date)
Copyright, 2016, OECD. Reprinted with permission."
469,JPNMABMM301IXOBSAM,2021-01-12,2021-01-12,Monetary aggregates and their components: Broad money and components: M3: M3 for Japan,1980-01-01,2020-10-01,Monthly,M,Index 2015=100,Index 2015=100,Seasonally Adjusted,SA,2020-12-10 15:20:04-06,1,10,"OECD descriptor ID: MABMM301 OECD unit ID: IXOBSA OECD country ID: JPN All OECD data should be cited as follows: OECD,""Main Economic Indicators - complete database""Main Economic Indicators(database)http://dx.doi.org/10.1787/data-00052-en(Accessed on date)Copyright, 2016, OECD. Reprinted with permission."
470,MABMBM01O1A659S,2021-01-12,2021-01-12,"Broad Money, Index for the OECD Total Area (DISCONTINUED)",1981-01-01,2013-01-01,Annual,A,Growth Rate Same Period Previous Year,Growth Rate Same Period Previous Yr.,Not Seasonally Adjusted,NSA,2014-05-05 09:23:39-05,0,1,"OECD descriptor ID: MABMBM01
OECD unit ID: GYSA
OECD country ID: OTO

All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date)
Copyright, 2016, OECD. Reprinted with permission."
471,MABMBM01O1Q659S,2021-01-12,2021-01-12,"Broad Money, Index for the OECD Total Area (DISCONTINUED)",1981-01-01,2013-10-01,Quarterly,Q,Growth Rate Same Period Previous Year,Growth Rate Same Period Previous Yr.,Seasonally Adjusted,SA,2014-05-05 09:23:37-05,0,1,"OECD descriptor ID: MABMBM01
OECD unit ID: GYSA
OECD country ID: OTO

All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date)
Copyright, 2016, OECD. Reprinted with permission."
472,CHNMANMM101IXOBSAM,2021-01-12,2021-01-12,Monetary aggregates and their components: Narrow money and components: M1 and components: M1 for China,1990-02-01,2018-12-01,Monthly,M,Index 2015=100,Index 2015=100,Seasonally Adjusted,SA,2020-12-10 14:46:22-06,9,10,"OECD descriptor ID: MANMM101 OECD unit ID: IXOBSA OECD country ID: CHN All OECD data should be cited as follows: OECD,""Main Economic Indicators - complete database""Main Economic Indicators(database)http://dx.doi.org/10.1787/data-00052-en(Accessed on date)Copyright, 2016, OECD. Reprinted with permission."
473,JPNMANMM101IXOBSAM,2021-01-12,2021-01-12,Monetary aggregates and their components: Narrow money and components: M1 and components: M1 for Japan,1960-01-01,2020-10-01,Monthly,M,Index 2015=100,Index 2015=100,Seasonally Adjusted,SA,2020-12-10 14:41:16-06,8,10,"OECD descriptor ID: MANMM101 OECD unit ID: IXOBSA OECD country ID: JPN All OECD data should be cited as follows: OECD,""Main Economic Indicators - complete database""Main Economic Indicators(database)http://dx.doi.org/10.1787/data-00052-en(Accessed on date)Copyright, 2016, OECD. Reprinted with permission."
474,JPNMANMM101IXOBSAQ,2021-01-12,2021-01-12,Monetary aggregates and their components: Narrow money and components: M1 and components: M1 for Japan,1960-01-01,2020-07-01,Quarterly,Q,Index 2015=100,Index 2015=100,Seasonally Adjusted,SA,2020-12-10 15:04:50-06,4,10,"OECD descriptor ID: MANMM101 OECD unit ID: IXOBSA OECD country ID: JPN All OECD data should be cited as follows: OECD,""Main Economic Indicators - complete database""Main Economic Indicators(database)http://dx.doi.org/10.1787/data-00052-en(Accessed on date)Copyright, 2016, OECD. Reprinted with permission."
475,CHNMANMM101IXOBSAQ,2021-01-12,2021-01-12,Monetary aggregates and their components: Narrow money and components: M1 and components: M1 for China,1990-04-01,2018-10-01,Quarterly,Q,Index 2015=100,Index 2015=100,Seasonally Adjusted,SA,2020-12-10 14:39:49-06,2,10,"OECD descriptor ID: MANMM101 OECD unit ID: IXOBSA OECD country ID: CHN All OECD data should be cited as follows: OECD,""Main Economic Indicators - complete database""Main Economic Indicators(database)http://dx.doi.org/10.1787/data-00052-en(Accessed on date)Copyright, 2016, OECD. Reprinted with permission."
476,USAMABMM301IXOBSAM,2021-01-12,2021-01-12,Monetary aggregates and their components: Broad money and components: M3: M3 for the United States,1960-01-01,2020-10-01,Monthly,M,Index 2015=100,Index 2015=100,Seasonally Adjusted,SA,2020-12-10 15:12:27-06,1,7,"OECD descriptor ID: MABMM301 OECD unit ID: IXOBSA OECD country ID: USA All OECD data should be cited as follows: OECD,""Main Economic Indicators - complete database""Main Economic Indicators(database)http://dx.doi.org/10.1787/data-00052-en(Accessed on date)Copyright, 2016, OECD. Reprinted with permission."
477,USAMABMM301IXOBSAQ,2021-01-12,2021-01-12,Monetary aggregates and their components: Broad money and components: M3: M3 for the United States,1960-01-01,2020-07-01,Quarterly,Q,Index 2015=100,Index 2015=100,Seasonally Adjusted,SA,2020-12-10 14:42:55-06,1,7,"OECD descriptor ID: MABMM301 OECD unit ID: IXOBSA OECD country ID: USA All OECD data should be cited as follows: OECD,""Main Economic Indicators - complete database""Main Economic Indicators(database)http://dx.doi.org/10.1787/data-00052-en(Accessed on date)Copyright, 2016, OECD. Reprinted with permission."
478,EA19MANMM101IXOBSAM,2021-01-12,2021-01-12,Monetary aggregates and their components: Narrow money and components: M1 and components: M1 for the Euro Area,1970-01-01,2020-10-01,Monthly,M,Index 2015=100,Index 2015=100,Seasonally Adjusted,SA,2020-12-10 14:45:35-06,7,8,"OECD descriptor ID: MANMM101 OECD unit ID: IXOBSA OECD country ID: EA19 All OECD data should be cited as follows: OECD,""Main Economic Indicators - complete database""Main Economic Indicators(database)http://dx.doi.org/10.1787/data-00052-en(Accessed on date)Copyright, 2016, OECD. Reprinted with permission."
479,EA19MANMM101IXOBSAQ,2021-01-12,2021-01-12,Monetary aggregates and their components: Narrow money and components: M1 and components: M1 for the Euro Area,1970-01-01,2020-07-01,Quarterly,Q,Index 2015=100,Index 2015=100,Seasonally Adjusted,SA,2020-12-10 15:10:24-06,1,8,"OECD descriptor ID: MANMM101 OECD unit ID: IXOBSA OECD country ID: EA19 All OECD data should be cited as follows: OECD,""Main Economic Indicators - complete database""Main Economic Indicators(database)http://dx.doi.org/10.1787/data-00052-en(Accessed on date)Copyright, 2016, OECD. Reprinted with permission."
480,CHEMANMM101IXOBSAM,2021-01-12,2021-01-12,Monetary aggregates and their components: Narrow money and components: M1 and components: M1 for Switzerland,1960-01-01,2018-12-01,Monthly,M,Index 2015=100,Index 2015=100,Seasonally Adjusted,SA,2020-11-12 15:38:48-06,7,7,"OECD descriptor ID: MANMM101 OECD unit ID: IXOBSA OECD country ID: CHE All OECD data should be cited as follows: OECD,""Main Economic Indicators - complete database""Main Economic Indicators(database)http://dx.doi.org/10.1787/data-00052-en(Accessed on date)Copyright, 2016, OECD. Reprinted with permission."
481,CHEMANMM101IXOBSAQ,2021-01-12,2021-01-12,Monetary aggregates and their components: Narrow money and components: M1 and components: M1 for Switzerland,1960-01-01,2018-10-01,Quarterly,Q,Index 2015=100,Index 2015=100,Seasonally Adjusted,SA,2020-11-12 15:30:42-06,1,7,"OECD descriptor ID: MANMM101 OECD unit ID: IXOBSA OECD country ID: CHE All OECD data should be cited as follows: OECD,""Main Economic Indicators - complete database""Main Economic Indicators(database)http://dx.doi.org/10.1787/data-00052-en(Accessed on date)Copyright, 2016, OECD. Reprinted with permission."
482,GBRMANMM101IXOBSAM,2021-01-12,2021-01-12,Monetary aggregates and their components: Narrow money and components: M1 and components: M1 for the United Kingdom,1986-10-01,2020-09-01,Monthly,M,Index 2015=100,Index 2015=100,Seasonally Adjusted,SA,2020-12-10 14:43:48-06,5,7,"OECD descriptor ID: MANMM101 OECD unit ID: IXOBSA OECD country ID: GBR All OECD data should be cited as follows: OECD,""Main Economic Indicators - complete database""Main Economic Indicators(database)http://dx.doi.org/10.1787/data-00052-en(Accessed on date)Copyright, 2016, OECD. Reprinted with permission."
483,OECDMANMM101IXOBSAM,2021-01-12,2021-01-12,Monetary aggregates and their components: Narrow money and components: M1 and components: M1 for OECD - Total,1980-01-01,2020-09-01,Monthly,M,Index 2015=100,Index 2015=100,Seasonally Adjusted,SA,2020-11-12 15:33:29-06,1,7,"OECD descriptor ID: MANMM101 OECD unit ID: IXOBSA OECD country ID: OECD All OECD data should be cited as follows: OECD,""Main Economic Indicators - complete database""Main Economic Indicators(database)http://dx.doi.org/10.1787/data-00052-en(Accessed on date)Copyright, 2016, OECD. Reprinted with permission."
484,OECDMANMM101IXOBSAQ,2021-01-12,2021-01-12,Monetary aggregates and their components: Narrow money and components: M1 and components: M1 for OECD - Total,1980-01-01,2020-07-01,Quarterly,Q,Index 2015=100,Index 2015=100,Seasonally Adjusted,SA,2020-11-12 15:35:14-06,1,7,"OECD descriptor ID: MANMM101 OECD unit ID: IXOBSA OECD country ID: OECD All OECD data should be cited as follows: OECD,""Main Economic Indicators - complete database""Main Economic Indicators(database)http://dx.doi.org/10.1787/data-00052-en(Accessed on date)Copyright, 2016, OECD. Reprinted with permission."
485,GBRMANMM101IXOBSAQ,2021-01-12,2021-01-12,Monetary aggregates and their components: Narrow money and components: M1 and components: M1 for the United Kingdom,1986-10-01,2020-07-01,Quarterly,Q,Index 2015=100,Index 2015=100,Seasonally Adjusted,SA,2020-12-10 15:07:14-06,4,7,"OECD descriptor ID: MANMM101 OECD unit ID: IXOBSA OECD country ID: GBR All OECD data should be cited as follows: OECD,""Main Economic Indicators - complete database""Main Economic Indicators(database)http://dx.doi.org/10.1787/data-00052-en(Accessed on date)Copyright, 2016, OECD. Reprinted with permission."
486,GBRMABMM301IXOBSAM,2021-01-12,2021-01-12,Monetary aggregates and their components: Broad money and components: M3: M3 for the United Kingdom,1987-01-01,2020-09-01,Monthly,M,Index 2015=100,Index 2015=100,Seasonally Adjusted,SA,2020-12-10 15:24:45-06,2,5,"OECD descriptor ID: MABMM301 OECD unit ID: IXOBSA OECD country ID: GBR All OECD data should be cited as follows: OECD,""Main Economic Indicators - complete database""Main Economic Indicators(database)http://dx.doi.org/10.1787/data-00052-en(Accessed on date)Copyright, 2016, OECD. Reprinted with permission."
487,EA19MABMM301IXOBSAM,2021-01-12,2021-01-12,Monetary aggregates and their components: Broad money and components: M3: M3 for the Euro Area,1970-01-01,2020-10-01,Monthly,M,Index 2015=100,Index 2015=100,Seasonally Adjusted,SA,2020-12-10 14:46:47-06,1,5,"OECD descriptor ID: MABMM301 OECD unit ID: IXOBSA OECD country ID: EA19 All OECD data should be cited as follows: OECD,""Main Economic Indicators - complete database""Main Economic Indicators(database)http://dx.doi.org/10.1787/data-00052-en(Accessed on date)Copyright, 2016, OECD. Reprinted with permission."
488,EA19MABMM301IXOBSAQ,2021-01-12,2021-01-12,Monetary aggregates and their components: Broad money and components: M3: M3 for the Euro Area,1970-01-01,2020-07-01,Quarterly,Q,Index 2015=100,Index 2015=100,Seasonally Adjusted,SA,2020-12-10 15:10:24-06,1,5,"OECD descriptor ID: MABMM301 OECD unit ID: IXOBSA OECD country ID: EA19 All OECD data should be cited as follows: OECD,""Main Economic Indicators - complete database""Main Economic Indicators(database)http://dx.doi.org/10.1787/data-00052-en(Accessed on date)Copyright, 2016, OECD. Reprinted with permission."
489,GBRMABMM301IXOBSAQ,2021-01-12,2021-01-12,Monetary aggregates and their components: Broad money and components: M3: M3 for the United Kingdom,1987-01-01,2020-07-01,Quarterly,Q,Index 2015=100,Index 2015=100,Seasonally Adjusted,SA,2020-12-10 15:07:15-06,1,5,"OECD descriptor ID: MABMM301 OECD unit ID: IXOBSA OECD country ID: GBR All OECD data should be cited as follows: OECD,""Main Economic Indicators - complete database""Main Economic Indicators(database)http://dx.doi.org/10.1787/data-00052-en(Accessed on date)Copyright, 2016, OECD. Reprinted with permission."
490,CANMABMM301IXOBSAM,2021-01-12,2021-01-12,Monetary aggregates and their components: Broad money and components: M3: M3 for Canada,1970-01-01,2020-09-01,Monthly,M,Index 2015=100,Index 2015=100,Seasonally Adjusted,SA,2020-11-12 15:47:04-06,1,4,"OECD descriptor ID: MABMM301 OECD unit ID: IXOBSA OECD country ID: CAN All OECD data should be cited as follows: OECD,""Main Economic Indicators - complete database""Main Economic Indicators(database)http://dx.doi.org/10.1787/data-00052-en(Accessed on date)Copyright, 2016, OECD. Reprinted with permission."
491,CANMABMM301IXOBSAQ,2021-01-12,2021-01-12,Monetary aggregates and their components: Broad money and components: M3: M3 for Canada,1970-01-01,2020-07-01,Quarterly,Q,Index 2015=100,Index 2015=100,Seasonally Adjusted,SA,2020-11-12 15:42:29-06,1,4,"OECD descriptor ID: MABMM301 OECD unit ID: IXOBSA OECD country ID: CAN All OECD data should be cited as follows: OECD,""Main Economic Indicators - complete database""Main Economic Indicators(database)http://dx.doi.org/10.1787/data-00052-en(Accessed on date)Copyright, 2016, OECD. Reprinted with permission."
492,ZAFMABMM301IXOBSAQ,2021-01-12,2021-01-12,Monetary aggregates and their components: Broad money and components: M3: M3 for South Africa,1965-04-01,2020-04-01,Quarterly,Q,Index 2015=100,Index 2015=100,Seasonally Adjusted,SA,2020-08-11 07:36:24-05,1,4,"OECD descriptor ID: MABMM301 OECD unit ID: IXOBSA OECD country ID: ZAF All OECD data should be cited as follows: OECD,""Main Economic Indicators - complete database""Main Economic Indicators(database)http://dx.doi.org/10.1787/data-00052-en(Accessed on date)Copyright, 2016, OECD. Reprinted with permission."
493,ZAFMABMM301IXOBSAM,2021-01-12,2021-01-12,Monetary aggregates and their components: Broad money and components: M3: M3 for South Africa,1965-04-01,2020-08-01,Monthly,M,Index 2015=100,Index 2015=100,Seasonally Adjusted,SA,2020-10-14 13:15:31-05,1,4,"OECD descriptor ID: MABMM301 OECD unit ID: IXOBSA OECD country ID: ZAF All OECD data should be cited as follows: OECD,""Main Economic Indicators - complete database""Main Economic Indicators(database)http://dx.doi.org/10.1787/data-00052-en(Accessed on date)Copyright, 2016, OECD. Reprinted with permission."
494,COLMANMM101IXOBSAQ,2021-01-12,2021-01-12,Monetary aggregates and their components: Narrow money and components: M1 and components: M1 for Colombia,1982-04-01,2020-07-01,Quarterly,Q,Index 2015=100,Index 2015=100,Seasonally Adjusted,SA,2020-12-10 15:10:56-06,1,4,"OECD descriptor ID: MANMM101 OECD unit ID: IXOBSA OECD country ID: COL All OECD data should be cited as follows: OECD,""Main Economic Indicators - complete database""Main Economic Indicators(database)http://dx.doi.org/10.1787/data-00052-en(Accessed on date)Copyright, 2016, OECD. Reprinted with permission."
495,COLMANMM101IXOBSAM,2021-01-12,2021-01-12,Monetary aggregates and their components: Narrow money and components: M1 and components: M1 for Colombia,1982-02-01,2020-10-01,Monthly,M,Index 2015=100,Index 2015=100,Seasonally Adjusted,SA,2020-12-10 15:36:02-06,1,4,"OECD descriptor ID: MANMM101 OECD unit ID: IXOBSA OECD country ID: COL All OECD data should be cited as follows: OECD,""Main Economic Indicators - complete database""Main Economic Indicators(database)http://dx.doi.org/10.1787/data-00052-en(Accessed on date)Copyright, 2016, OECD. Reprinted with permission."
496,USAMANMM101IXOBSAM,2021-01-12,2021-01-12,Monetary aggregates and their components: Narrow money and components: M1 and components: M1 for the United States,1960-01-01,2020-10-01,Monthly,M,Index 2015=100,Index 2015=100,Seasonally Adjusted,SA,2020-12-10 14:38:32-06,3,3,"OECD descriptor ID: MANMM101 OECD unit ID: IXOBSA OECD country ID: USA All OECD data should be cited as follows: OECD,""Main Economic Indicators - complete database""Main Economic Indicators(database)http://dx.doi.org/10.1787/data-00052-en(Accessed on date)Copyright, 2016, OECD. Reprinted with permission."
497,INDMABMM301IXOBSAQ,2021-01-12,2021-01-12,Monetary aggregates and their components: Broad money and components: M3: M3 for India,1960-01-01,2018-10-01,Quarterly,Q,Index 2015=100,Index 2015=100,Seasonally Adjusted,SA,2020-11-12 15:38:04-06,1,3,"OECD descriptor ID: MABMM301 OECD unit ID: IXOBSA OECD country ID: IND All OECD data should be cited as follows: OECD,""Main Economic Indicators - complete database""Main Economic Indicators(database)http://dx.doi.org/10.1787/data-00052-en(Accessed on date)Copyright, 2016, OECD. Reprinted with permission."
498,INDMABMM301IXOBSAM,2021-01-12,2021-01-12,Monetary aggregates and their components: Broad money and components: M3: M3 for India,1960-01-01,2018-12-01,Monthly,M,Index 2015=100,Index 2015=100,Seasonally Adjusted,SA,2020-11-12 15:45:42-06,1,3,"OECD descriptor ID: MABMM301 OECD unit ID: IXOBSA OECD country ID: IND All OECD data should be cited as follows: OECD,""Main Economic Indicators - complete database""Main Economic Indicators(database)http://dx.doi.org/10.1787/data-00052-en(Accessed on date)Copyright, 2016, OECD. Reprinted with permission."
499,USAMANMM101IXOBSAQ,2021-01-12,2021-01-12,Monetary aggregates and their components: Narrow money and components: M1 and components: M1 for the United States,1960-01-01,2020-07-01,Quarterly,Q,Index 2015=100,Index 2015=100,Seasonally Adjusted,SA,2020-12-10 14:42:55-06,1,3,"OECD descriptor ID: MANMM101 OECD unit ID: IXOBSA OECD country ID: USA All OECD data should be cited as follows: OECD,""Main Economic Indicators - complete database""Main Economic Indicators(database)http://dx.doi.org/10.1787/data-00052-en(Accessed on date)Copyright, 2016, OECD. Reprinted with permission."
500,AUSMABMM301IXOBSAM,2021-01-12,2021-01-12,Monetary aggregates and their components: Broad money and components: M3: M3 for Australia,1960-02-01,2020-10-01,Monthly,M,Index 2015=100,Index 2015=100,Seasonally Adjusted,SA,2020-12-10 15:44:47-06,1,3,"OECD descriptor ID: MABMM301 OECD unit ID: IXOBSA OECD country ID: AUS All OECD data should be cited as follows: OECD,""Main Economic Indicators - complete database""Main Economic Indicators(database)http://dx.doi.org/10.1787/data-00052-en(Accessed on date)Copyright, 2016, OECD. Reprinted with permission."
501,AUSMABMM301IXOBSAQ,2021-01-12,2021-01-12,Monetary aggregates and their components: Broad money and components: M3: M3 for Australia,1960-04-01,2020-07-01,Quarterly,Q,Index 2015=100,Index 2015=100,Seasonally Adjusted,SA,2020-12-10 15:12:18-06,1,3,"OECD descriptor ID: MABMM301 OECD unit ID: IXOBSA OECD country ID: AUS All OECD data should be cited as follows: OECD,""Main Economic Indicators - complete database""Main Economic Indicators(database)http://dx.doi.org/10.1787/data-00052-en(Accessed on date)Copyright, 2016, OECD. Reprinted with permission."
502,TURMABMM301IXOBSAQ,2021-01-12,2021-01-12,Monetary aggregates and their components: Broad money and components: M3: M3 for Turkey,1980-01-01,2018-10-01,Quarterly,Q,Index 2015=100,Index 2015=100,Seasonally Adjusted,SA,2020-11-12 15:27:02-06,1,3,"OECD descriptor ID: MABMM301 OECD unit ID: IXOBSA OECD country ID: TUR All OECD data should be cited as follows: OECD,""Main Economic Indicators - complete database""Main Economic Indicators(database)http://dx.doi.org/10.1787/data-00052-en(Accessed on date)Copyright, 2016, OECD. Reprinted with permission."
503,TURMABMM301IXOBSAM,2021-01-12,2021-01-12,Monetary aggregates and their components: Broad money and components: M3: M3 for Turkey,1980-01-01,2018-12-01,Monthly,M,Index 2015=100,Index 2015=100,Seasonally Adjusted,SA,2020-11-12 15:47:17-06,1,3,"OECD descriptor ID: MABMM301 OECD unit ID: IXOBSA OECD country ID: TUR All OECD data should be cited as follows: OECD,""Main Economic Indicators - complete database""Main Economic Indicators(database)http://dx.doi.org/10.1787/data-00052-en(Accessed on date)Copyright, 2016, OECD. Reprinted with permission."
504,CRIMANMM101IXOBSAM,2021-01-12,2021-01-12,Monetary aggregates and their components: Narrow money and components: M1 and components: M1 for Costa Rica,2001-02-01,2020-10-01,Monthly,M,Index 2015=100,Index 2015=100,Not Seasonally Adjusted,NSA,2020-12-10 15:35:41-06,1,4,"OECD descriptor ID: MANMM101 OECD unit ID: IXOBSA OECD country ID: CRIAll OECD data should be cited as follows: OECD,""Main Economic Indicators - complete database""Main Economic Indicators(database)http://dx.doi.org/10.1787/data-00052-en(Accessed on date)Copyright, 2016, OECD. Reprinted with permission."
505,CRIMANMM101IXOBSAQ,2021-01-12,2021-01-12,Monetary aggregates and their components: Narrow money and components: M1 and components: M1 for Costa Rica,2001-04-01,2020-07-01,Quarterly,Q,Index 2015=100,Index 2015=100,Seasonally Adjusted,SA,2020-12-10 15:10:32-06,1,4,"OECD descriptor ID: MANMM101 OECD unit ID: IXOBSA OECD country ID: CRIAll OECD data should be cited as follows: OECD,""Main Economic Indicators - complete database""Main Economic Indicators(database)http://dx.doi.org/10.1787/data-00052-en(Accessed on date)Copyright, 2016, OECD. Reprinted with permission."
506,KORMANMM101IXOBSAM,2021-01-12,2021-01-12,Monetary aggregates and their components: Narrow money and components: M1 and components: M1 for the Republic of Korea,1960-02-01,2020-09-01,Monthly,M,Index 2015=100,Index 2015=100,Seasonally Adjusted,SA,2020-12-10 14:41:17-06,4,4,"OECD descriptor ID: MANMM101 OECD unit ID: IXOBSA OECD country ID: KOR All OECD data should be cited as follows: OECD,""Main Economic Indicators - complete database""Main Economic Indicators(database)http://dx.doi.org/10.1787/data-00052-en(Accessed on date)Copyright, 2016, OECD. Reprinted with permission."
507,KORMANMM101IXOBSAQ,2021-01-12,2021-01-12,Monetary aggregates and their components: Narrow money and components: M1 and components: M1 for the Republic of Korea,1960-04-01,2020-07-01,Quarterly,Q,Index 2015=100,Index 2015=100,Seasonally Adjusted,SA,2020-12-10 15:01:44-06,1,4,"OECD descriptor ID: MANMM101 OECD unit ID: IXOBSA OECD country ID: KOR All OECD data should be cited as follows: OECD,""Main Economic Indicators - complete database""Main Economic Indicators(database)http://dx.doi.org/10.1787/data-00052-en(Accessed on date)Copyright, 2016, OECD. Reprinted with permission."
508,INDMANMM101IXOBSAQ,2021-01-12,2021-01-12,Monetary aggregates and their components: Narrow money and components: M1 and components: M1 for India,1960-01-01,2018-10-01,Quarterly,Q,Index 2015=100,Index 2015=100,Seasonally Adjusted,SA,2020-11-12 15:30:22-06,2,3,"OECD descriptor ID: MANMM101 OECD unit ID: IXOBSA OECD country ID: IND All OECD data should be cited as follows: OECD,""Main Economic Indicators - complete database""Main Economic Indicators(database)http://dx.doi.org/10.1787/data-00052-en(Accessed on date)Copyright, 2016, OECD. Reprinted with permission."
509,INDMANMM101IXOBSAM,2021-01-12,2021-01-12,Monetary aggregates and their components: Narrow money and components: M1 and components: M1 for India,1960-01-01,2018-12-01,Monthly,M,Index 2015=100,Index 2015=100,Seasonally Adjusted,SA,2020-11-12 15:29:21-06,2,3,"OECD descriptor ID: MANMM101 OECD unit ID: IXOBSA OECD country ID: IND All OECD data should be cited as follows: OECD,""Main Economic Indicators - complete database""Main Economic Indicators(database)http://dx.doi.org/10.1787/data-00052-en(Accessed on date)Copyright, 2016, OECD. Reprinted with permission."
